358 2 139 2 294
359 0 0 0 0
360 1 200 0 0
361 1 200 0 0
362 1 200 0 0
363 1 200 0 0
364 1 52 1 52
365 0 0 0 0
366 0 0 0 0
367 0 0 0 0
368 0 0 0 0
369 0 0 0 0
370 0 0 0 0
371 0 0 0 0
372 0 0 0 0
373 0 0 0 0
374 7 1325 7 1014
375 0 0 0 0
376 0 0 0 0
377 0 0 0 0
378 0 0 0 0
379 1 52 1 52
380 0 0 0 0
381 3 226 4 247
382 0 0 0 0
383 0 0 0 0
384 0 0 0 0
385 0 0 0 0
386 0 0 0 0
387 0 0 0 0
388 0 0 0 0
389 0 0 0 0
390 0 0 0 0
391 1 32 0 0
392 0 0 0 0
393 0 0 0 0
394 0 0 0 0
395 0 0 0 0
396 0 0 0 0
397 0 0 0 0
398 0 0 0 0
399 0 0 0 0
400 0 0 0 0
401 0 0 0 0
402 0 0 0 0
403 0 0 0 0
404 6 1273 6 1005
405 0 0 0 0
406 2 174 2 143
407 1 87 1 64
408 0 0 0 0
409 0 0 0 0
410 1 52 1 52
411 0 0 0 0
412 0 0 0 0
413 0 0 0 0
414 0 0 0 0
415 0 0 0 0
416 0 0 0 0
417 5 906 6 390
418 5 330 4 607
419 0 0 0 0
420 0 0 0 0
421 0 0 0 0
422 0 0 0 0
423 0 0 0 0
424 1 52 1 52
425 0 0 0 0
426 1 52 1 52
427 0 0 0 0
428 0 0 0 0
429 0 0 0 0
430 0 0 0 0
431 3 226 3 195
432 0 0 0 0
433 0 0 0 0
